"site","year","SST"
"OTIS","2009-05-01",-3.68710327148438
"CHSWRR","2009-05-01",-4.90219116210938
"CHSWRG","2009-05-01",-4.90219116210938
"PSSB","2009-05-01",-4.61911010742188
"PSFB","2009-05-01",-4.61911010742188
"SYSE","2009-05-01",-4.81155395507812
"SYSW","2009-05-01",-4.81155395507812
"SYLM","2009-05-01",-4.81155395507812
"JBAB","2009-05-01",-4.40866088867188
"NRBW","2009-05-01",-4.62936401367188
"MEBB","2009-05-01",-4.62936401367188
"MEKB","2009-05-01",-4.62936401367188
"MEPA","2009-05-01",-4.62936401367188
"SWAIN","2009-05-01",-4.56961059570312
"OTIS","2009-06-01",-3.93963623046875
"CHSWRR","2009-06-01",-5.16949462890625
"CHSWRG","2009-06-01",-5.16949462890625
"PSSB","2009-06-01",-4.688720703125
"PSFB","2009-06-01",-4.688720703125
"SYSE","2009-06-01",-4.94381713867188
"SYSW","2009-06-01",-4.94381713867188
"SYLM","2009-06-01",-4.94381713867188
"JBAB","2009-06-01",-4.68032836914062
"NRBW","2009-06-01",-4.9329833984375
"MEBB","2009-06-01",-4.9329833984375
"MEKB","2009-06-01",-4.9329833984375
"MEPA","2009-06-01",-4.9329833984375
"SWAIN","2009-06-01",-4.6029052734375
"OTIS","2009-07-01",-3.59518432617188
"CHSWRR","2009-07-01",-4.406005859375
"CHSWRG","2009-07-01",-4.406005859375
"PSSB","2009-07-01",-3.81759643554688
"PSFB","2009-07-01",-3.81759643554688
"SYSE","2009-07-01",-4.01507568359375
"SYSW","2009-07-01",-4.01507568359375
"SYLM","2009-07-01",-4.01507568359375
"JBAB","2009-07-01",-3.8536376953125
"NRBW","2009-07-01",-4.04696655273438
"MEBB","2009-07-01",-4.04696655273438
"MEKB","2009-07-01",-4.04696655273438
"MEPA","2009-07-01",-4.04696655273438
"SWAIN","2009-07-01",-3.86239624023438
"OTIS","2009-08-01",-2.68820190429688
"CHSWRR","2009-08-01",-3.20004272460938
"CHSWRG","2009-08-01",-3.20004272460938
"PSSB","2009-08-01",-2.73699951171875
"PSFB","2009-08-01",-2.73699951171875
"SYSE","2009-08-01",-2.94338989257812
"SYSW","2009-08-01",-2.94338989257812
"SYLM","2009-08-01",-2.94338989257812
"JBAB","2009-08-01",-2.73092651367188
"NRBW","2009-08-01",-2.54745483398438
"MEBB","2009-08-01",-2.54745483398438
"MEKB","2009-08-01",-2.54745483398438
"MEPA","2009-08-01",-2.54745483398438
"SWAIN","2009-08-01",-2.71859741210938
"OTIS","2009-09-01",-1.5704345703125
"CHSWRR","2009-09-01",-1.44680786132812
"CHSWRG","2009-09-01",-1.44680786132812
"PSSB","2009-09-01",-1.11669921875
"PSFB","2009-09-01",-1.11669921875
"SYSE","2009-09-01",-1.34091186523438
"SYSW","2009-09-01",-1.34091186523438
"SYLM","2009-09-01",-1.34091186523438
"JBAB","2009-09-01",-1.14752197265625
"NRBW","2009-09-01",-1.12005615234375
"MEBB","2009-09-01",-1.12005615234375
"MEKB","2009-09-01",-1.12005615234375
"MEPA","2009-09-01",-1.12005615234375
"SWAIN","2009-09-01",-1.55624389648438
